MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
26420,5/10/17,5/4/17,38799,the grand at lacenterra,stabilized,2016,271,a++,a,a,bear creek/katy,"houston-the woodlands-sugar land, tx",2727 commerical center blvd,katy,tx,77494,http://www.thegrandatlacenterra.com/,29.73909,-95.774002,673102,1,fort bend county,48157
36084,5/10/17,5/18/17,39840,hillside village,stabilized,2005,94,b+,a+,b+,west contra costa,"oakland-hayward-berkeley, ca",1797 shattuck ave,berkeley,ca,94709,http://www.hillsidevillageberkeley.com/,37.875202,-122.26839,422400,1,alameda county,6001
12420,5/10/17,5/16/17,5454,preserve at travis creek i & ii,stabilized,1997,608,b,b+,b+,west,"austin-round rock, tx",5604 southwest pkwy,austin,tx,78735,www.thepreserveattraviscreek.com,30.24646,-97.846298,1914,1,travis county,48453
19124,5/10/17,5/1/17,66161,3333 elm street loft,stabilized,2015,19,b+,a,b+,east dallas,"dallas-plano-irving, tx",3333 elm st,dallas,tx,75226,http://www.3333elmstreetlofts.com/,32.7864,-96.776367,20400,2,dallas county,48113
19124,5/10/17,5/3/17,57191,chadwick,stabilized,2010,264,b+,b+,b,denton county/other,"dallas-plano-irving, tx",13900 chadwick pkwy,north lake,tx,76262,http://www.chadwickapt.com/,33.020309,-97.26342,20306,2,denton county,48121
37100,5/10/17,5/9/17,68588,casa oaks ,stabilized,1984,54,c,b-,b+,thousand oaks,"oxnard-thousand oaks-ventura, ca",2088 w hillcrest dr,newbury park,ca,,http://www.casaoaksapartments.com/,34.186169,-118.9228,6100,4,ventura county,6111
26420,5/10/17,,13853,tivoli at vintage park,would not disclose,2000,156,b-,b-,b,cypress/fairbanks,"houston-the woodlands-sugar land, tx",10110 charterwood dr,houston,tx,77070,http://www.tivoliatvintagepark.com/,29.999086,-95.577499,554200,1,harris county,48201
45300,5/10/17,5/5/17,39396,union park on fletcher,stabilized,1969,84,c+,c,b,university north,"tampa-st. petersburg-clearwater, fl",3600 e fletcher ave,tampa,fl,33613,http://www.unionparkapts.com/,28.070196,-82.418571,10813,3,hillsborough county,12057
26420,5/10/17,5/17/17,9628,avana woodridge,stabilized,2000,216,b+,b+,b+,far nw/montgomery county,"houston-the woodlands-sugar land, tx",1475 sawdust rd,the woodlands,tx,77380,http://www.avanawoodridge.com/,30.126059,-95.46093,691400,2,montgomery county,48339
41700,5/10/17,5/2/17,30960,parc 410,rehabilitation,1980,344,c+,c,b,far west,"san antonio-new braunfels, tx",5827 nw loop 410,san antonio,tx,78238,http://parc410apts.com/,29.47887,-98.607285,181705,3,bexar county,48029
